beschreibung,offset,info,erledigt
Rotavirus (RV) #1 (Alex),2,1. Impfung in der 7. Lebenswoche, 
Rotavirus (RV) #2 (Alex),3,fruehestens 4 Wochen nach der 1. Impfung, 
Rotavirus (RV) #3 (Alex),4,abhaengig vom verwendeten Impfstoff fruehestens 4 Wochen nach der 2. Impfung, 
6-fach #1 (Alex),3,"6-fach (Diphterie (DIP), Tetanus (TET), Pertussis (PEA), Poliomyelitis (IPV), Haemophilus,  Influenzae B (HIB), Hepatitis B (HBV))", 
6-fach #2 (Alex),5,2 Monate nach der 1. Impfung, 
6-fach #3 (Alex),12,fruehestens 6 Monate nach der 2. Impfung, 
Pneumokokken (PNC) #1 (Alex),3,, 
Pneumokokken (PNC) #2 (Alex),5,2 Monate nach der 1. Impfung, 
Pneumokokken (PNC) #3 (Alex),13,fruehestens 6 Monate nach der 2. Impfung, 
MMR #1 (Alex),11,Bei 1. Impfung im 10. bis 12. Monat: 2. Impfung nach 3 Monaten, 
MMR #2 (Alex),14,2. Impfung nach 3 Monaten, 
Meningokokken B #1 (Alex),3,, 
Meningokokken B #2 (Alex),4,, 
Meningokokken B #3 (Alex),5,, 
Meningokokken B #4 (Alex),13,Auffrischungs- beziehungsweise Nachhol-Impfung, 
Meningokokken C #1 (Alex),13,1 Impfung ab dem 13. Monat, 
FSME #1 (Alex),13,, 
FSME #2 (Alex),14,, 
FSME #3 (Alex),20,, 
FSME #5 (Alex),60,Auffrischungs-Impfung, 
Varizellen (VZV) #1 (Alex),30,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Varizellen (VZV) #2 (Alex),32,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Hepatitis A (HAV) #1 (Alex),30,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Hepatitis A (HAV) #2 (Alex),31,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
