beschreibung,start,end,info,erledigt
Rotavirus (RV) #1 (rudi),26.02.2024,03.03.2024,1. Impfung in der 7. Lebenswoche, 
Rotavirus (RV) #2 (rudi),25.03.2024,31.03.2024,fruehestens 4 Wochen nach der 1. Impfung, 
Rotavirus (RV) #3 (rudi),22.04.2024,28.04.2024,abhaengig vom verwendeten Impfstoff fruehestens 4 Wochen nach der 2. Impfung, 
6-fach #1 (rudi),25.03.2024,31.03.2024,"6-fach (Diphterie (DIP), Tetanus (TET), Pertussis (PEA), Poliomyelitis (IPV), Haemophilus,  Influenzae B (HIB), Hepatitis B (HBV))", 
6-fach #2 (rudi),20.05.2024,26.05.2024,2 Monate nach der 1. Impfung, 
6-fach #3 (rudi),02.12.2024,08.12.2024,fruehestens 6 Monate nach der 2. Impfung, 
Pneumokokken (PNC) #1 (rudi),25.03.2024,31.03.2024,, 
Pneumokokken (PNC) #2 (rudi),20.05.2024,26.05.2024,2 Monate nach der 1. Impfung, 
Pneumokokken (PNC) #3 (rudi),30.12.2024,05.01.2025,fruehestens 6 Monate nach der 2. Impfung, 
MMR #1 (rudi),04.11.2024,10.11.2024,Bei 1. Impfung im 10. bis 12. Monat: 2. Impfung nach 3 Monaten, 
MMR #2 (rudi),27.01.2025,02.02.2025,2. Impfung nach 3 Monaten, 
Meningokokken B #1 (rudi),25.03.2024,31.03.2024,, 
Meningokokken B #2 (rudi),22.04.2024,28.04.2024,, 
Meningokokken B #3 (rudi),20.05.2024,26.05.2024,, 
Meningokokken B #4 (rudi),30.12.2024,05.01.2025,Auffrischungs- beziehungsweise Nachhol-Impfung, 
Meningokokken C #1 (rudi),30.12.2024,05.01.2025,1 Impfung ab dem 13. Monat, 
FSME #1 (rudi),30.12.2024,05.01.2025,, 
FSME #2 (rudi),27.01.2025,02.02.2025,, 
FSME #3 (rudi),14.07.2025,20.07.2025,, 
FSME #5 (rudi),07.08.2028,13.08.2028,Auffrischungs-Impfung, 
Varizellen (VZV) #1 (rudi),20.04.2026,26.04.2026,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Varizellen (VZV) #2 (rudi),15.06.2026,21.06.2026,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Hepatitis A (HAV) #1 (rudi),20.04.2026,26.04.2026,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Hepatitis A (HAV) #2 (rudi),18.05.2026,24.05.2026,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
