beschreibung,offset,info,erledigt
Rotavirus (RV) #1 (),2,1. Impfung in der 7. Lebenswoche, 
Rotavirus (RV) #2 (),3,fruehestens 4 Wochen nach der 1. Impfung, 
Rotavirus (RV) #3 (),4,abhaengig vom verwendeten Impfstoff fruehestens 4 Wochen nach der 2. Impfung, 
6-fach #1 (),3,"6-fach (Diphterie (DIP), Tetanus (TET), Pertussis (PEA), Poliomyelitis (IPV), Haemophilus,  Influenzae B (HIB), Hepatitis B (HBV))", 
6-fach #2 (),5,2 Monate nach der 1. Impfung, 
6-fach #3 (),12,fruehestens 6 Monate nach der 2. Impfung, 
Pneumokokken (PNC) #1 (),3,, 
Pneumokokken (PNC) #2 (),5,2 Monate nach der 1. Impfung, 
Pneumokokken (PNC) #3 (),13,fruehestens 6 Monate nach der 2. Impfung, 
MMR #1 (),11,Bei 1. Impfung im 10. bis 12. Monat: 2. Impfung nach 3 Monaten, 
MMR #2 (),14,2. Impfung nach 3 Monaten, 
Meningokokken B #1 (),3,, 
Meningokokken B #2 (),4,, 
Meningokokken B #3 (),5,, 
Meningokokken B #4 (),13,Auffrischungs- beziehungsweise Nachhol-Impfung, 
Meningokokken C #1 (),13,1 Impfung ab dem 13. Monat, 
FSME #1 (),13,, 
FSME #2 (),14,, 
FSME #3 (),20,, 
FSME #5 (),60,Auffrischungs-Impfung, 
Varizellen (VZV) #1 (),30,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Varizellen (VZV) #2 (),32,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Hepatitis A (HAV) #1 (),30,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Hepatitis A (HAV) #2 (),31,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
